Comment,Designator,Footprint,LCSC
"1uF","C1,C2,C4,C10","0402","C52923"
"100nF","C3,C5,C6,C11,C12,C13,C14,C15,C16,C17","0402","C1525"
"22pF","C7,C8","0402","C1555"
"10uF","C9","0402","C15525"
"Schottky Diode","D1","D_SOD-123","C8598"
"Conn_01x06","J4,J5","Connector_JST:JST_PH_B6B-PH-SM4-TB_1x06-1MP_P2.00mm_Vertical","C471518"
"Conn_01x10","J6,J7","Connector_JST:JST_PH_B10B-PH-SM4-TB_1x10-1MP_P2.00mm_Vertical","C264997"
"1k","R10,R11","0402","C11702"
"5.6k","R5","0603","C23189"
"10k","R6","0603","C25804"
"10k","R7","0402","C25744"
"27","R8,R9","0603","C25190"
"Boot","SW1","SW_SPST_SKQG_WithStem","C202424"
"XC6206","U1","SOT-23","C5446"
"X05A26H12G","U2","FPC-SMD_X05A26H12G","C519263"
"RP2040","U3","RP2040-QFN-56","C2040"
"W25Q128JVS","U4","SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"12MHz","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","C9002"
