Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0402_1005Metric",107.174915,-72.519603,0.000000,top
"C2","1uF","C_0402_1005Metric",104.665600,-64.523399,180.000000,top
"C3","100nF","C_0402_1005Metric",97.653716,-68.619003,0.000000,top
"C4","1uF","C_0402_1005Metric",103.111350,-74.599419,90.000000,top
"C5","100nF","C_0402_1005Metric",98.821601,-72.805651,90.000000,top
"C6","100nF","C_0402_1005Metric",102.758600,-88.426651,-90.000000,top
"C7","22pF","C_0402_1005Metric",94.869000,-92.455999,-90.000000,top
"C8","22pF","C_0402_1005Metric",101.333350,-91.998417,90.000000,top
"C9","10uF","C_0402_1005Metric",107.174916,-71.319601,180.000000,top
"C10","1uF","C_0402_1005Metric",100.345600,-72.805651,90.000000,top
"C11","100nF","C_0402_1005Metric",107.820400,-81.915001,0.000000,top
"C12","100nF","C_0402_1005Metric",104.127350,-74.599419,90.000000,top
"C13","100nF","C_0402_1005Metric",95.110350,-77.139417,90.000000,top
"C14","100nF","C_0402_1005Metric",101.234600,-88.426651,-90.000000,top
"C15","100nF","C_0402_1005Metric",94.094350,-82.981418,-135.000000,top
"C16","100nF","C_0402_1005Metric",105.996800,-75.920599,0.000000,top
"C17","100nF","C_0402_1005Metric",105.996800,-77.444601,0.000000,top
"D1","Schottky Diode","D_SOD-123",108.215600,-68.353399,90.000000,top
"J4","Conn_01x06","JST_PH_B6B-PH-SM4-TB_1x06-1MP_P2.00mm_Vertical",94.280200,-139.731600,-90.000000,top
"J5","Conn_01x06","JST_PH_B6B-PH-SM4-TB_1x06-1MP_P2.00mm_Vertical",108.879100,-139.731601,90.000000,top
"J6","Conn_01x10","JST_PH_B10B-PH-SM4-TB_1x10-1MP_P2.00mm_Vertical",93.050000,-115.770001,-90.000000,top
"J7","Conn_01x10","JST_PH_B10B-PH-SM4-TB_1x10-1MP_P2.00mm_Vertical",108.900000,-115.800001,90.000000,top
"R5","5.6k","R_0603_1608Metric",109.321600,-74.535801,-90.000000,top
"R6","10k","R_0603_1608Metric",110.861600,-74.535801,90.000000,top
"R7","10k","R_0402_1005Metric",106.265600,-87.873400,180.000000,top
"R8","27","R_0603_1608Metric",101.516637,-68.083363,-135.000000,top
"R9","27","R_0603_1608Metric",102.010510,-69.795810,-135.000000,top
"R10","1k","R_0402_1005Metric",88.403716,-66.699002,-90.000000,top
"R11","1k","R_0402_1005Metric",99.202600,-88.426651,90.000000,top
"SW1","Boot","SW_SPST_SKQG_WithStem",92.466716,-63.079202,-90.000000,top
"U1","XC6206","SOT-23",105.118099,-66.763400,180.000000,top
"U2","X05A26H12G","FPC-SMD_X05A26H12G",101.600000,-50.850800,180.000000,top
"U3","RP2040","RP2040-QFN-56",100.345600,-80.838401,0.000000,top
"U4","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",92.003716,-70.529001,0.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",98.059600,-91.982651,180.000000,top
